id_vente,date,heure,id_produit,nom_produit,prix_produit,categorie_produit,quantite,pays,ville,methode_paiement,statut_commande,satisfaction_client
V000001,2023-05-05,16:45:00,P010,Montre connectée,129.99,Électronique,5,France,Ville_48_France,Virement bancaire,Annulée,3
V000002,2023-05-24,02:06:00,P001,Smartphone,-499.99,Électronique,5,France,Ville_18_France,Apple Pay,En cours de traitement,5
V000003,2023-04-09,21:11:00,P018,Parfum,69.99,Beauté,3,France,Ville_38_France,PayPal,Expédiée,5
V000004,2023-10-29,12:09:00,P012,Enceinte Bluetooth,59.99,Électronique,3,France,Ville_41_France,PayPal,Expédiée,3
V000005,2023-07-25,05:55:00,P004,Casque audio sans fil,149.99,Électronique,5,Espagne,Ville_35_Espagne,Apple Pay,Annulée,3
V000006,2023-02-27,08:49:00,P020,Jeu de société,29.99,Loisirs,1,Allemagne,Ville_25_Allemagne,Google Pay,Expédiée,1
V000007,2023-04-01,15:48:00,P012,Enceinte Bluetooth,59.99,Électronique,3,Belgique,Ville_8_Belgique,Apple Pay,En cours de traitement,5
V000008,2023-03-11,05:44:00,P008,Chaussures de sport,89.99,Vêtements,4,France,Ville_20_France,Apple Pay,Livrée,2
V000009,2023-11-13,11:16:00,P015,Mixeur,34.99,Électroménager,1,Allemagne,Ville_46_Allemagne,Virement bancaire,En cours de traitement,5
V000010,2023-07-17,01:09:00,P011,Roman bestseller,14.99,Livres,4,France,Ville_5_France,Google Pay,Annulée,5
V000011,2023-12-30,09:13:00,P006,Machine à café,79.99,Électroménager,3,France,Ville_13_France,Google Pay,Livrée,2
V000012,2023-03-14,09:35:00,P001,Smartphone,499.99,Électronique,1,France,Ville_17_France,Virement bancaire,Annulée,1
V000013,2023-01-30,07:56:00,P007,Tablette,299.99,Électronique,3,France,Ville_7_France,PayPal,Annulée,4
V000014,2023-01-18,04:58:00,P011,Roman bestseller,14.99,Catégorie Invalide,5,France,Ville_16_France,Carte de crédit,Annulée,3
V000015,2023-12-30,20:13:00,P006,Machine à café,79.99,Électroménager,5,France,Ville_22_France,Google Pay,Annulée,4
V000016,2023-11-15,21:09:00,P019,Couverture chauffante,44.99,Maison,5,France,Ville_25_France,Carte de crédit,En cours de traitement,2
V000017,2023-03-21,04:55:00,P008,Chaussures de sport,89.99,Vêtements,2,Espagne,Ville_4_Espagne,Apple Pay,En cours de traitement,2
V000018,2023-05-18,05:10:00,P014,Appareil photo numérique,349.99,Électronique,3,Italie,Ville_49_Italie,Carte de crédit,Expédiée,4
V000019,2023-12-28,11:58:00,P002,Ordinateur portable,899.99,Électronique,4,France,Ville_14_France,PayPal,Annulée,1
V000020,2023-08-31,07:06:00,P001,Smartphone,499.99,Électronique,3,France,Ville_12_France,PayPal,Expédiée,5
V000021,2023-02-14,12:59:00,P003,Livre de cuisine,24.99,Livres,0,Belgique,Ville_5_Belgique,Apple Pay,Livrée,5
V000022,2023-12-20,21:28:00,P016,Tapis de yoga,29.99,Sport,1,Espagne,Ville_18_Espagne,Apple Pay,Livrée,4
V000023,2023-12-12,19:27:00,P006,Machine à café,79.99,Électroménager,4,France,Ville_16_France,Virement bancaire,Expédiée,4
V000024,2023-06-08,13:47:00,P019,Couverture chauffante,44.99,Maison,2,Allemagne,Ville_4_Allemagne,Apple Pay,Expédiée,3
V000025,2023-04-20,01:03:00,P007,Tablette,299.99,Électronique,4,Royaume-Uni,Ville_4_Royaume-Uni,Google Pay,Annulée,2
V000026,2023-04-19,05:55:00,P008,Chaussures de sport,89.99,Vêtements,4,France,Ville_13_France,Carte de crédit,Annulée,2
V000027,2023-05-14,16:48:00,P002,Ordinateur portable,899.99,Électronique,3,Italie,Ville_48_Italie,Apple Pay,En cours de traitement,5
V000028,2023-09-04,00:37:00,P018,Parfum,-69.99,Beauté,5,France,Ville_22_France,PayPal,Expédiée,2
V000029,2023-01-03,19:58:00,P006,Machine à café,79.99,Électroménager,2,France,Ville_13_France,Apple Pay,En cours de traitement,4
V000030,2023-08-14,22:51:00,P007,Tablette,299.99,Électronique,4,Belgique,Ville_20_Belgique,Virement bancaire,En cours de traitement,5
V000031,2023-03-03,05:27:00,P012,Enceinte Bluetooth,59.99,Électronique,2,France,Ville_16_France,Carte de crédit,Livrée,3
V000032,2023-01-14,20:50:00,P020,Jeu de société,29.99,Loisirs,2,France,Ville_26_France,Google Pay,En cours de traitement,3
V000033,2023-10-22,03:17:00,P007,Tablette,299.99,Électronique,1,Allemagne,Ville_12_Allemagne,Apple Pay,Livrée,1
V000034,2023-03-14,07:40:00,P012,Enceinte Bluetooth,59.99,Électronique,4,Espagne,Ville_33_Espagne,Apple Pay,En cours de traitement,1
V000035,2023-06-15,11:52:00,P018,Parfum,69.99,Beauté,5,France,Ville_45_France,Apple Pay,En cours de traitement,3
V000036,2023-09-27,11:31:00,P019,Couverture chauffante,-44.99,Maison,1,Espagne,Ville_33_Espagne,Virement bancaire,Annulée,1
V000037,2023-02-26,19:04:00,P019,Couverture chauffante,44.99,Maison,3,France,Ville_16_France,Virement bancaire,Annulée,5
V000038,2023-02-15,23:57:00,P008,Chaussures de sport,-89.99,Vêtements,1,France,Ville_27_France,Apple Pay,Expédiée,3
V000039,2023-02-05,01:12:00,P003,Livre de cuisine,24.99,Catégorie Invalide,4,France,Ville_15_France,Carte de crédit,Expédiée,3
V000040,2023-07-26,06:08:00,P009,Aspirateur robot,199.99,Électroménager,4,Suisse,Ville_8_Suisse,Apple Pay,Expédiée,5
V000041,2023-01-12,15:31:00,P001,Smartphone,499.99,Électronique,3,France,Ville_34_France,Virement bancaire,Livrée,5
X000042,2023-10-13,22:17:00,P016,Tapis de yoga,29.99,Sport,3,Allemagne,Ville_21_Allemagne,PayPal,En cours de traitement,1
V000043,2023-12-09,04:42:00,P017,Stylo de luxe,49.99,Papeterie,5,France,Ville_37_France,Apple Pay,En cours de traitement,5
V000044,2023-11-02,11:38:00,P008,Chaussures de sport,89.99,Vêtements,4,France,Ville_37_France,Apple Pay,Expédiée,4
V000045,2023-02-25,19:09:00,P009,Aspirateur robot,199.99,Électroménager,4,France,Ville_23_France,PayPal,Annulée,2
V000046,2023-11-06,17:03:00,P007,Tablette,299.99,Électronique,4,France,Ville_4_France,Virement bancaire,Annulée,1
V000047,2023-05-20,01:43:00,P017,Stylo de luxe,49.99,Papeterie,3,France,Ville_35_France,Apple Pay,En cours de traitement,1
V000048,2023-01-07,09:41:00,P001,Smartphone,499.99,Électronique,5,France,Ville_2_France,Virement bancaire,En cours de traitement,4
V000049,2023-01-05,02:52:00,P012,Enceinte Bluetooth,59.99,Électronique,4,France,Ville_31_France,PayPal,Livrée,2
V000050,2023-01-25,18:34:00,P005,T-shirt,19.99,Vêtements,1,Espagne,Ville_9_Espagne,Carte de crédit,Expédiée,3
V000051,2023-11-30,19:39:00,P011,Roman bestseller,14.99,Livres,5,France,Ville_4_France,PayPal,En cours de traitement,1
V000052,2023-04-27,16:49:00,P009,Aspirateur robot,199.99,Électroménager,3,Belgique,Ville_41_Belgique,Apple Pay,Expédiée,2
V000053,2023-07-04,22:47:00,P010,Montre connectée,129.99,Électronique,4,Italie,Ville_26_Italie,Virement bancaire,En cours de traitement,4
V000054,2023-09-01,09:49:00,P005,T-shirt,19.99,Vêtements,2,Suisse,Ville_27_Suisse,Apple Pay,En cours de traitement,2
V000055,2023-03-10,12:04:00,P006,Machine à café,79.99,Électroménager,5,France,Ville_25_France,Carte de crédit,Annulée,4
V000056,2023-03-16,23:50:00,P014,Appareil photo numérique,349.99,Électronique,5,France,Ville_30_France,Carte de crédit,Livrée,1
V000057,2023-07-10,00:12:00,P012,Enceinte Bluetooth,59.99,Électronique,4,France,Ville_32_France,Google Pay,Expédiée,4
