machine_id,position_x,position_y,brand,model,cost,install_time
C_000,3,4,Tuned Machinery,Model B,2499,2022-01-02T08:00:00
C_001,3,16,Momentum Inc,Adamantium,1999,2022-01-02T08:20:00
C_002,27,4,Tuned Machinery,Model A,2499,2022-01-02T08:40:00
C_003,27,16,Resona Technologies,RT-2000,14999,2022-01-02T09:00:00
C_004,3,52,HyperVibe,Vibe Three,5999,2022-01-02T09:20:00
C_005,3,64,RumbleCorp,SambA,4999,2022-01-02T09:40:00
C_006,27,52,Momentum Inc,Adamantium,1999,2022-01-02T10:00:00
C_007,27,64,RumbleCorp,CariocA,4999,2022-01-02T10:20:00
C_008,63,4,HyperVibe,Vibe Seven,5999,2022-01-02T10:40:00
C_009,63,16,RumbleCorp,CariocA,4999,2022-01-02T11:00:00
C_010,87,4,HyperVibe,Vibe Three,5999,2022-01-02T11:20:00
C_011,87,16,Momentum Inc,Vibranium,1999,2022-01-02T11:40:00
C_012,63,52,HyperVibe,Vibe Eight,5999,2022-01-02T12:00:00
C_013,63,64,Momentum Inc,Vibranium,1999,2022-01-02T12:20:00
C_014,87,52,Resona Technologies,RT-2000,14999,2022-01-02T12:40:00
C_015,87,64,Tuned Machinery,Model B,2499,2022-01-02T13:00:00
