machine_id,position_x,position_y,brand,model,cost,install_time
A_000,3,4,RumbleCorp,CariocA,4999,2022-01-02T08:00:00
A_001,3,16,HyperVibe,Vibe Seven,5999,2022-01-02T08:20:00
A_002,27,4,Resona Technologies,RT-2000,14999,2022-01-02T08:40:00
A_003,27,16,Momentum Inc,Vibranium,1999,2022-01-02T09:00:00
A_004,3,52,Tuned Machinery,Model B,2499,2022-01-02T09:20:00
A_005,3,64,Momentum Inc,Adamantium,1999,2022-01-02T09:40:00
A_006,27,52,Tuned Machinery,Model B,2499,2022-01-02T10:00:00
A_007,27,64,Tuned Machinery,Model A,2499,2022-01-02T10:20:00
A_008,63,4,RumbleCorp,RumbA,4999,2022-01-02T10:40:00
A_009,63,16,RumbleCorp,RumbA,4999,2022-01-02T11:00:00
A_010,87,4,RumbleCorp,SambA,4999,2022-01-02T11:20:00
A_011,87,16,HyperVibe,Vibe Eight,5999,2022-01-02T11:40:00
A_012,63,52,RumbleCorp,SambA,4999,2022-01-02T12:00:00
A_013,63,64,Resona Technologies,RT-2000,14999,2022-01-02T12:20:00
A_014,87,52,Tuned Machinery,Model A,2499,2022-01-02T12:40:00
A_015,87,64,RumbleCorp,RumbA,4999,2022-01-02T13:00:00
